genero,grupo_etnico,nivel_educacao_pais,tipo_de_bolsa,fez_curso_preparatorio,pontuacao_matematica,pontuacao_leitura,pontuacao_escrita
homem,grupo_B,ensino_superior_completo,padrao,N,84,88,90
mulher,grupo_D,ensino_medio,gratuita,N,55,76,70
mulher,grupo_A,ensino_fundamental,padrao,S,46,66,67
mulher,grupo_E,ensino_superior_completo,padrao,N,90,82,88
mulher,grupo_D,ensino_superior_incompleto,padrao,N,58,55,60
homem,grupo_A,ensino_superior_incompleto,padrao,N,85,76,73
mulher,grupo_D,ensino_fundamental,gratuita,S,52,54,63
homem,grupo_D,ensino_superior_completo,padrao,N,46,48,39
homem,grupo_C,ensino_superior_continuado,padrao,N,77,69,66
homem,grupo_D,ensino_superior_continuado,gratuita,N,65,62,56
homem,grupo_C,ensino_superior_incompleto,padrao,N,72,71,66
mulher,grupo_D,ensino_superior_completo,padrao,S,86,87,86
mulher,grupo_A,ensino_superior_completo,padrao,S,88,92,97
homem,grupo_D,ensino_superior_completo,padrao,N,65,67,64
homem,grupo_B,ensino_superior_incompleto,padrao,N,80,67,71
homem,grupo_C,ensino_superior_continuado,gratuita,N,69,60,65
homem,grupo_D,ensino_superior_incompleto,padrao,N,79,59,57
mulher,grupo_D,ensino_superior_continuado,gratuita,N,77,79,75
mulher,grupo_C,ensino_fundamental,padrao,N,63,76,76
homem,grupo_E,ensino_fundamental,gratuita,S,65,69,67
mulher,grupo_D,ensino_superior_incompleto,gratuita,N,31,39,46
mulher,grupo_D,ensino_fundamental,padrao,S,61,67,65
mulher,grupo_C,ensino_superior_incompleto,padrao,N,67,76,73
homem,grupo_D,ensino_superior_completo,gratuita,N,51,44,45
mulher,grupo_D,ensino_superior_incompleto,padrao,N,77,88,87
mulher,grupo_A,ensino_superior_incompleto,padrao,N,69,83,78
mulher,grupo_E,ensino_superior_incompleto,gratuita,N,68,74,73
homem,grupo_D,ensino_fundamental,padrao,S,57,49,53
mulher,grupo_D,ensino_superior_incompleto,gratuita,N,68,78,77
mulher,grupo_C,ensino_superior_continuado,gratuita,N,63,97,90
mulher,grupo_D,ensino_superior_incompleto,gratuita,N,68,75,73
homem,grupo_D,ensino_superior_incompleto,gratuita,N,47,39,34
mulher,grupo_E,ensino_medio,padrao,S,66,66,65
mulher,grupo_E,ensino_superior_incompleto,gratuita,N,73,84,82
mulher,grupo_C,ensino_medio,gratuita,N,62,56,57
homem,grupo_A,ensino_superior_completo,padrao,N,66,54,56
homem,grupo_E,ensino_superior_incompleto,padrao,N,80,56,63
mulher,grupo_E,ensino_fundamental,padrao,N,77,71,68
homem,grupo_D,ensino_superior_completo,gratuita,S,62,51,55
homem,grupo_A,ensino_superior_completo,padrao,S,100,91,98
mulher,grupo_D,ensino_superior_continuado,gratuita,N,52,61,61
homem,grupo_C,ensino_fundamental,padrao,N,48,38,35
homem,grupo_A,ensino_superior_completo,padrao,N,52,43,49
mulher,grupo_E,ensino_medio,padrao,N,88,84,84
mulher,grupo_C,ensino_fundamental,gratuita,N,78,86,80
homem,grupo_A,ensino_fundamental,padrao,S,65,65,68
homem,grupo_D,ensino_superior_completo,padrao,N,87,80,81
homem,grupo_B,ensino_superior_mestrado,gratuita,N,55,57,55
mulher,grupo_B,ensino_medio,padrao,N,60,69,61
homem,grupo_E,ensino_superior_completo,padrao,N,79,66,70
mulher,grupo_B,ensino_superior_mestrado,padrao,N,38,62,60
mulher,grupo_C,ensino_fundamental,padrao,N,48,60,59
homem,grupo_D,ensino_superior_incompleto,gratuita,N,77,82,80
mulher,grupo_B,ensino_superior_incompleto,gratuita,S,49,66,67
homem,grupo_C,ensino_fundamental,padrao,N,60,61,47
mulher,grupo_C,ensino_fundamental,padrao,S,63,67,74
mulher,grupo_B,ensino_superior_completo,gratuita,N,71,82,78
homem,grupo_B,ensino_medio,padrao,S,85,81,83
mulher,grupo_D,ensino_superior_mestrado,padrao,S,70,71,78
mulher,grupo_D,ensino_superior_completo,gratuita,N,32,47,46
mulher,grupo_E,ensino_fundamental,padrao,S,80,94,83
mulher,grupo_A,ensino_superior_continuado,padrao,N,55,56,56
mulher,grupo_E,ensino_fundamental,padrao,N,60,64,63
homem,grupo_E,ensino_superior_incompleto,padrao,N,100,95,93
mulher,grupo_D,ensino_medio,padrao,S,65,77,87
mulher,grupo_C,ensino_fundamental,padrao,S,72,78,85
homem,grupo_D,ensino_medio,padrao,N,62,55,62
mulher,grupo_B,ensino_superior_completo,padrao,N,58,71,66
mulher,grupo_D,ensino_medio,padrao,N,52,65,62
homem,grupo_C,ensino_superior_continuado,padrao,N,74,74,64
homem,grupo_C,ensino_medio,padrao,S,67,66,68
homem,grupo_B,ensino_medio,gratuita,S,51,55,52
mulher,grupo_E,ensino_fundamental,padrao,N,81,87,80
homem,grupo_C,ensino_fundamental,gratuita,S,84,77,75
homem,grupo_C,ensino_superior_completo,padrao,N,58,55,54
homem,grupo_E,ensino_superior_incompleto,gratuita,S,77,77,65
mulher,grupo_B,ensino_superior_continuado,padrao,N,67,76,76
homem,grupo_D,ensino_fundamental,gratuita,S,55,59,52
homem,grupo_E,ensino_superior_mestrado,gratuita,S,98,82,86
homem,grupo_E,ensino_superior_incompleto,padrao,S,98,86,93
mulher,grupo_D,ensino_fundamental,padrao,N,67,69,70
mulher,grupo_B,ensino_medio,gratuita,N,59,79,74
mulher,grupo_B,ensino_medio,gratuita,S,80,89,89
mulher,grupo_C,ensino_medio,gratuita,N,36,49,49
mulher,grupo_E,ensino_superior_incompleto,padrao,S,90,94,90
mulher,grupo_D,ensino_fundamental,padrao,N,70,67,67
mulher,grupo_B,ensino_superior_mestrado,gratuita,S,50,70,67
mulher,grupo_C,ensino_superior_incompleto,padrao,S,65,71,77
homem,grupo_B,ensino_superior_mestrado,padrao,S,66,62,65
mulher,grupo_C,ensino_medio,padrao,N,63,68,66
homem,grupo_D,ensino_superior_completo,gratuita,N,70,67,68
homem,grupo_B,ensino_superior_completo,padrao,S,85,80,80
mulher,grupo_A,ensino_superior_incompleto,gratuita,N,32,41,39
mulher,grupo_D,ensino_superior_incompleto,padrao,S,63,81,82
mulher,grupo_B,ensino_medio,padrao,N,57,68,64
homem,grupo_E,ensino_superior_continuado,padrao,N,71,63,53
mulher,grupo_D,ensino_medio,padrao,N,71,84,83
homem,grupo_C,ensino_superior_continuado,gratuita,N,77,88,80
homem,grupo_E,ensino_superior_completo,padrao,S,85,75,81
homem,grupo_C,ensino_medio,padrao,S,70,75,70
mulher,grupo_C,ensino_superior_incompleto,padrao,N,84,99,94
homem,grupo_E,ensino_fundamental,gratuita,N,58,64,61
homem,grupo_C,ensino_superior_incompleto,padrao,N,50,48,41
mulher,grupo_E,ensino_superior_incompleto,padrao,S,75,82,80
homem,grupo_A,ensino_medio,gratuita,N,50,54,46
mulher,grupo_C,ensino_superior_completo,padrao,S,83,82,84
mulher,grupo_D,ensino_superior_incompleto,padrao,S,82,88,94
mulher,grupo_B,ensino_medio,padrao,N,53,52,53
mulher,grupo_B,ensino_medio,padrao,N,66,82,80
homem,grupo_C,ensino_medio,padrao,N,55,50,48
mulher,grupo_C,ensino_fundamental,gratuita,N,65,81,71
mulher,grupo_D,ensino_superior_continuado,padrao,N,67,79,79
mulher,grupo_B,ensino_fundamental,padrao,N,62,53,60
mulher,grupo_E,ensino_medio,gratuita,N,32,41,42
mulher,grupo_C,ensino_superior_completo,gratuita,N,64,76,73
mulher,grupo_C,ensino_superior_completo,padrao,N,66,68,66
mulher,grupo_C,ensino_fundamental,padrao,S,77,77,81
mulher,grupo_B,ensino_fundamental,gratuita,S,50,63,64
mulher,grupo_D,ensino_superior_incompleto,padrao,S,69,89,87
homem,grupo_D,ensino_superior_continuado,padrao,N,93,86,83
homem,grupo_E,ensino_medio,padrao,S,83,72,73
mulher,grupo_E,ensino_medio,padrao,S,68,85,83
mulher,grupo_D,ensino_superior_continuado,padrao,N,55,55,64
homem,grupo_E,ensino_superior_completo,padrao,S,94,78,77
homem,grupo_C,ensino_fundamental,gratuita,N,53,46,48
homem,grupo_D,ensino_superior_incompleto,padrao,S,81,68,69
mulher,grupo_E,ensino_superior_completo,padrao,N,77,81,82
mulher,grupo_C,ensino_superior_mestrado,padrao,N,88,93,92
mulher,grupo_D,ensino_medio,padrao,N,54,61,61
mulher,grupo_C,ensino_superior_incompleto,padrao,N,58,75,61
mulher,grupo_D,ensino_superior_mestrado,padrao,N,65,78,76
mulher,grupo_C,ensino_superior_continuado,padrao,N,61,63,64
mulher,grupo_B,ensino_superior_completo,gratuita,S,63,78,79
mulher,grupo_C,ensino_superior_continuado,padrao,N,64,72,67
mulher,grupo_E,ensino_superior_completo,gratuita,S,74,78,83
homem,grupo_B,ensino_superior_incompleto,padrao,S,68,71,71
homem,grupo_B,ensino_fundamental,padrao,N,54,54,51
homem,grupo_D,ensino_fundamental,gratuita,N,24,22,25
mulher,grupo_B,ensino_superior_mestrado,padrao,S,75,73,80
mulher,grupo_D,ensino_superior_completo,padrao,N,61,68,71
mulher,grupo_D,ensino_superior_completo,padrao,N,77,87,83
homem,grupo_D,ensino_superior_incompleto,padrao,N,73,71,64
mulher,grupo_C,ensino_fundamental,padrao,N,49,55,56
mulher,grupo_C,ensino_superior_completo,gratuita,S,52,65,66
mulher,grupo_D,ensino_superior_completo,padrao,N,58,77,73
mulher,grupo_B,ensino_fundamental,gratuita,S,31,46,49
mulher,grupo_D,ensino_fundamental,padrao,N,51,55,55
mulher,grupo_A,ensino_fundamental,padrao,N,66,78,73
homem,grupo_D,ensino_fundamental,padrao,N,30,23,24
mulher,grupo_C,ensino_superior_mestrado,padrao,N,84,88,89
mulher,grupo_D,ensino_superior_continuado,padrao,S,100,100,100
homem,grupo_E,ensino_medio,padrao,N,85,79,63
homem,grupo_C,ensino_superior_incompleto,padrao,N,85,78,76
mulher,grupo_D,ensino_fundamental,padrao,N,54,54,59
mulher,grupo_C,ensino_superior_mestrado,gratuita,S,62,79,71
mulher,grupo_C,ensino_superior_incompleto,gratuita,N,46,64,64
mulher,grupo_C,ensino_medio,gratuita,S,44,61,56
homem,grupo_C,ensino_superior_continuado,gratuita,N,67,69,66
mulher,grupo_D,ensino_superior_continuado,padrao,S,97,100,100
homem,grupo_B,ensino_superior_incompleto,gratuita,N,63,69,62
homem,grupo_E,ensino_superior_incompleto,padrao,N,71,58,55
homem,grupo_D,ensino_superior_incompleto,padrao,N,53,33,39
mulher,grupo_E,ensino_superior_incompleto,padrao,N,74,70,65
mulher,grupo_C,ensino_superior_continuado,gratuita,S,61,86,82
mulher,grupo_B,ensino_superior_mestrado,padrao,S,73,88,91
homem,grupo_E,ensino_superior_mestrado,gratuita,N,56,51,47
mulher,grupo_E,ensino_superior_continuado,gratuita,N,39,50,48
homem,grupo_D,ensino_fundamental,padrao,N,89,84,83
homem,grupo_C,ensino_medio,gratuita,N,61,58,54
homem,grupo_B,ensino_fundamental,gratuita,S,66,70,61
homem,grupo_D,ensino_superior_incompleto,gratuita,S,87,83,87
homem,grupo_D,ensino_fundamental,gratuita,N,45,33,28
homem,grupo_D,ensino_medio,padrao,S,83,84,92
mulher,grupo_B,ensino_fundamental,padrao,N,55,66,59
homem,grupo_A,ensino_medio,padrao,S,88,90,92
homem,grupo_C,ensino_fundamental,padrao,S,83,79,80
mulher,grupo_C,ensino_superior_continuado,padrao,N,78,82,83
mulher,grupo_D,ensino_superior_continuado,gratuita,S,55,60,68
mulher,grupo_B,ensino_superior_completo,gratuita,N,60,67,70
mulher,grupo_A,ensino_superior_completo,gratuita,N,45,43,48
mulher,grupo_C,ensino_fundamental,gratuita,S,64,75,70
mulher,grupo_D,ensino_medio,padrao,N,58,69,68
homem,grupo_C,ensino_superior_continuado,gratuita,N,70,65,67
mulher,grupo_C,ensino_superior_incompleto,gratuita,N,58,54,59
homem,grupo_E,ensino_fundamental,padrao,N,74,65,56
mulher,grupo_C,ensino_superior_incompleto,padrao,N,54,67,61
mulher,grupo_A,ensino_superior_completo,gratuita,S,50,71,72
homem,grupo_D,ensino_superior_continuado,padrao,N,83,73,77
mulher,grupo_B,ensino_medio,padrao,N,75,84,82
mulher,grupo_D,ensino_fundamental,gratuita,S,52,77,75
homem,grupo_D,ensino_superior_completo,padrao,N,44,42,42
mulher,grupo_C,ensino_superior_incompleto,padrao,S,65,85,86
mulher,grupo_D,ensino_superior_continuado,padrao,N,84,87,89
homem,grupo_E,ensino_superior_completo,padrao,S,100,93,97
homem,grupo_D,ensino_superior_completo,padrao,N,56,60,55
homem,grupo_D,ensino_fundamental,padrao,N,91,83,88
mulher,grupo_B,ensino_medio,gratuita,S,61,81,77
homem,grupo_D,ensino_fundamental,padrao,S,81,81,82
homem,grupo_E,ensino_fundamental,gratuita,N,79,59,58
homem,grupo_C,ensino_superior_incompleto,padrao,N,65,53,59
mulher,grupo_D,ensino_medio,padrao,S,93,89,94
mulher,grupo_D,ensino_superior_completo,gratuita,S,54,69,72
mulher,grupo_E,ensino_medio,padrao,N,71,68,72
homem,grupo_C,ensino_fundamental,gratuita,N,50,53,49
mulher,grupo_C,ensino_superior_completo,gratuita,N,32,49,49
homem,grupo_C,ensino_superior_completo,gratuita,N,73,81,75
homem,grupo_D,ensino_superior_incompleto,padrao,S,76,78,75
homem,grupo_C,ensino_superior_mestrado,gratuita,N,40,55,49
mulher,grupo_A,ensino_medio,padrao,N,60,69,65
mulher,grupo_E,ensino_fundamental,padrao,N,75,75,75
homem,grupo_B,ensino_fundamental,padrao,N,57,59,53
homem,grupo_C,ensino_medio,padrao,N,46,38,35
homem,grupo_D,ensino_superior_continuado,gratuita,N,57,59,60
mulher,grupo_D,ensino_superior_incompleto,gratuita,N,50,60,54
homem,grupo_C,ensino_superior_incompleto,padrao,N,61,51,55
mulher,grupo_E,ensino_superior_incompleto,padrao,S,93,99,100
homem,grupo_C,ensino_medio,gratuita,S,60,66,62
mulher,grupo_B,ensino_fundamental,gratuita,N,44,55,50
homem,grupo_E,ensino_superior_incompleto,gratuita,N,41,37,34
mulher,grupo_B,ensino_superior_incompleto,gratuita,S,29,50,52
mulher,grupo_D,ensino_superior_mestrado,padrao,S,88,87,89
homem,grupo_C,ensino_fundamental,padrao,S,51,62,63
homem,grupo_E,ensino_fundamental,padrao,N,81,75,72
mulher,grupo_D,ensino_superior_incompleto,padrao,S,60,66,78
mulher,grupo_D,ensino_medio,padrao,S,71,86,84
mulher,grupo_C,ensino_superior_continuado,padrao,N,54,58,61
homem,grupo_C,ensino_superior_incompleto,padrao,N,85,73,75
mulher,grupo_B,ensino_medio,gratuita,N,67,72,71
mulher,grupo_C,ensino_superior_incompleto,gratuita,N,57,61,62
homem,grupo_E,ensino_superior_continuado,gratuita,N,73,68,68
homem,grupo_D,ensino_superior_mestrado,padrao,N,81,87,86
mulher,grupo_D,ensino_medio,padrao,S,48,61,58
mulher,grupo_C,ensino_fundamental,padrao,S,71,91,85
mulher,grupo_E,ensino_superior_incompleto,gratuita,S,73,80,76
homem,grupo_C,ensino_superior_completo,padrao,S,56,64,58
mulher,grupo_D,ensino_fundamental,gratuita,S,68,84,80
mulher,grupo_B,ensino_superior_incompleto,padrao,S,94,100,100
homem,grupo_C,ensino_medio,padrao,S,55,54,52
homem,grupo_C,ensino_fundamental,gratuita,S,61,64,64
homem,grupo_E,ensino_superior_incompleto,gratuita,S,99,91,89
homem,grupo_E,ensino_superior_completo,padrao,S,100,100,100
homem,grupo_B,ensino_superior_incompleto,padrao,S,81,68,70
homem,grupo_C,ensino_medio,padrao,N,58,62,52
mulher,grupo_C,ensino_superior_mestrado,gratuita,N,45,58,57
mulher,grupo_D,ensino_medio,padrao,S,43,58,63
homem,grupo_B,ensino_medio,padrao,N,70,63,57
mulher,grupo_B,ensino_superior_continuado,padrao,N,93,98,95
mulher,grupo_B,ensino_superior_continuado,padrao,S,55,68,67
mulher,grupo_C,ensino_superior_completo,padrao,N,71,78,76
homem,grupo_B,ensino_superior_incompleto,padrao,N,65,62,53
mulher,grupo_B,ensino_fundamental,padrao,N,74,88,85
mulher,grupo_A,ensino_superior_incompleto,gratuita,N,54,82,72
mulher,grupo_D,ensino_medio,padrao,N,57,48,52
homem,grupo_D,ensino_superior_incompleto,padrao,S,68,63,66
mulher,grupo_A,ensino_fundamental,gratuita,N,50,64,59
mulher,grupo_C,ensino_superior_mestrado,gratuita,N,51,60,63
homem,grupo_A,ensino_fundamental,padrao,N,57,57,51
homem,grupo_C,ensino_fundamental,gratuita,N,73,76,73
